Time,Temperature,Humidity,Pressure,Light,Noise
2020-08-01 01:35:26,75.5,36.1,1007.4,0,65.6
2020-08-01 01:50:24,77.7,35.9,1007.6,0,58.3
2020-08-01 02:05:22,76.8,36.2,1007.9,106.9,47.1
2020-08-01 02:20:20,76.3,36.7,1007.8,108.8,41.1
2020-08-01 02:35:18,78.4,36.7,1007.8,104.7,56.2
2020-08-01 02:50:15,77.0,36.9,1007.7,110.6,46.2
2020-08-01 03:05:13,77.4,37.0,1007.4,110.6,56.5
2020-08-01 03:20:11,76.8,37.0,1007.4,104.7,73.5
2020-08-01 03:35:09,77.1,37.0,1007.5,0,37.1
2020-08-01 03:50:07,75.7,37.4,1007.5,0,53.3
2020-08-01 04:05:05,77.9,37.2,1007.5,0,58.7
2020-08-01 04:20:03,75.6,37.7,1007.5,0,67.4
2020-08-01 04:35:01,74.1,37.7,1007.7,0,53.0
2020-08-01 04:49:59,76.8,37.2,1007.8,0,59.0
2020-08-01 05:04:57,74.1,37.7,1008.0,0,52.3
2020-08-01 05:19:55,73.8,37.7,1008.2,0,51.6
2020-08-01 05:34:53,76.4,37.2,1008.3,0,58.4
2020-08-01 05:49:51,74.5,37.8,1008.5,0,55.0
2020-08-01 06:04:49,75.6,37.5,1008.6,14.1,59.6
2020-08-01 06:19:47,76.0,37.3,1008.8,41.5,54.0
2020-08-01 06:34:45,73.3,37.6,1009.0,59.5,56.5
2020-08-01 06:49:43,76.0,37.3,1009.0,78.0,56.6
2020-08-01 07:04:41,74.0,37.5,1009.2,89.7,53.9
2020-08-01 07:19:39,74.0,37.6,1009.3,107.4,51.6
2020-08-01 07:34:37,76.1,37.5,1009.4,122.8,58.4
2020-08-01 07:49:34,73.9,37.8,1009.6,132.8,52.2
2020-08-01 08:04:32,74.9,37.9,1009.9,140.9,55.7
2020-08-01 08:19:30,76.2,37.6,1010.1,152.2,59.7
2020-08-01 08:34:28,74.5,37.9,1010.2,165.4,53.7
2020-08-01 08:49:26,77.7,37.6,1010.4,170.5,57.7
2020-08-01 09:04:24,76.9,37.9,1010.4,175.6,58.7
2020-08-01 09:19:22,73.9,38.1,1010.4,190.5,54.1
2020-08-01 09:34:20,76.1,37.0,1010.5,187.6,57.9
2020-08-01 09:49:18,73.9,37.0,1010.4,194.5,60.5
2020-08-01 10:04:16,76.8,36.7,1010.6,201.7,57.8
2020-08-01 10:19:14,76.7,37.6,1010.6,212.2,58.8
2020-08-01 10:34:12,80.5,37.4,1010.7,211.4,59.1
2020-08-01 10:49:10,78.7,38.0,1010.7,208.4,58.6
2020-08-01 11:04:08,77.4,38.8,1010.7,221.5,62.3
2020-08-01 11:19:06,77.5,39.1,1010.6,221.1,60.9
2020-08-01 11:34:04,75.5,39.4,1010.6,252.9,67.3
2020-08-01 11:49:02,77.0,39.2,1010.7,287.3,52.7
2020-08-01 12:04:00,77.5,39.0,1010.7,285.0,61.5
2020-08-01 12:18:58,76.6,39.5,1010.7,299.2,62.7
2020-08-01 12:33:56,77.9,39.0,1010.5,444.4,50.6
2020-08-01 12:48:53,77.3,38.9,1010.4,475.1,53.9
2020-08-01 13:03:51,76.8,39.2,1010.3,450.8,58.7
2020-08-01 13:18:49,77.5,38.8,1010.2,509.5,50.9
2020-08-01 13:33:47,79.0,38.7,1010.1,505.6,60.8
2020-08-01 13:48:45,78.9,38.9,1010.0,449.0,57.8
2020-08-01 14:03:43,78.4,38.5,1010.0,446.9,50.9
2020-08-01 14:18:41,79.9,38.5,1009.9,463.8,61.2
2020-08-01 14:33:39,79.5,38.5,1009.8,445.9,65.9
